Time,mean,climatology,anomaly
1025740800,NaN,0.268419,NaN
1025827200,NaN,0.269614,NaN
1025913600,NaN,0.270810,NaN
1026000000,NaN,0.272006,NaN
1026086400,NaN,0.273202,NaN
1026172800,NaN,0.274398,NaN
1026259200,NaN,0.275594,NaN
1026345600,NaN,0.276790,NaN
1026432000,0.144292,0.277986,-0.133694
1026518400,NaN,0.279182,NaN
1026691200,NaN,0.281574,NaN
1026777600,NaN,0.277429,NaN
1026864000,0.213485,0.273284,-0.059799
1026950400,NaN,0.269139,NaN
1027036800,NaN,0.264993,NaN
1027209600,NaN,0.256703,NaN
1027296000,NaN,0.252558,NaN
1027382400,0.845492,0.248413,0.597079
1027468800,NaN,0.244268,NaN
1027555200,NaN,0.240123,NaN
1027641600,NaN,0.235978,NaN
1027728000,NaN,0.231833,NaN
1027814400,NaN,0.227688,NaN
1027900800,NaN,0.223543,NaN
1028678400,NaN,0.186237,NaN
1028851200,NaN,0.177947,NaN
1028937600,NaN,0.173802,NaN
1029024000,NaN,0.169657,NaN
1029110400,NaN,0.165512,NaN
1029196800,NaN,0.161367,NaN
1029283200,NaN,0.157222,NaN
1029456000,NaN,0.152617,NaN
1029542400,0.169355,0.152157,0.017198
1029628800,NaN,0.151697,NaN
1029715200,NaN,0.151237,NaN
1029888000,NaN,0.150317,NaN
1029974400,NaN,0.149857,NaN
1030060800,0.110065,0.149398,-0.039333
1030233600,0.151426,0.148478,0.002948
1030320000,NaN,0.148018,NaN
1030406400,NaN,0.147558,NaN
1030492800,NaN,0.147098,NaN
1030579200,NaN,0.146638,NaN
1030665600,NaN,0.146178,NaN
1030752000,NaN,0.145718,NaN
1030924800,NaN,0.144799,NaN
1031011200,NaN,0.144339,NaN
1031097600,NaN,0.143879,NaN
1031270400,NaN,0.142959,NaN
1031356800,NaN,0.142499,NaN
1031443200,NaN,0.142039,NaN
1031616000,0.199163,0.141119,0.058043
1031702400,NaN,0.140659,NaN
1031875200,NaN,0.139740,NaN
1031961600,NaN,0.139280,NaN
1032048000,NaN,0.138820,NaN
1032134400,NaN,0.140087,NaN
