Time,mean,climatology,anomaly
1025740800,NaN,0.419624,NaN
1025827200,NaN,0.415278,NaN
1025913600,0.397566,0.410931,-0.013365
1026000000,0.282538,0.406584,-0.124046
1026086400,NaN,0.402238,NaN
1026172800,NaN,0.397891,NaN
1026259200,NaN,0.393544,NaN
1026345600,NaN,0.389198,NaN
1026432000,NaN,0.384851,NaN
1026518400,NaN,0.380504,NaN
1026691200,NaN,0.371811,NaN
1026777600,NaN,0.365632,NaN
1026864000,NaN,0.359452,NaN
1026950400,NaN,0.353273,NaN
1027036800,1.203341,0.347093,0.856248
1027209600,0.467064,0.334735,0.132329
1027296000,NaN,0.328555,NaN
1027382400,0.528106,0.322376,0.205730
1027468800,NaN,0.316196,NaN
1027555200,NaN,0.310017,NaN
1027641600,NaN,0.303838,NaN
1027728000,NaN,0.297658,NaN
1027814400,NaN,0.291479,NaN
1027900800,NaN,0.285300,NaN
1028678400,NaN,0.229685,NaN
1028851200,NaN,0.217326,NaN
1028937600,NaN,0.211147,NaN
1029024000,NaN,0.204968,NaN
1029110400,NaN,0.198788,NaN
1029196800,NaN,0.192609,NaN
1029283200,NaN,0.186429,NaN
1029456000,0.192202,0.180700,0.011502
1029542400,NaN,0.181149,NaN
1029628800,NaN,0.181599,NaN
1029715200,NaN,0.182049,NaN
1029888000,NaN,0.182948,NaN
1029974400,NaN,0.183398,NaN
1030060800,0.344371,0.183847,0.160524
1030233600,NaN,0.184747,NaN
1030320000,NaN,0.185196,NaN
1030406400,NaN,0.185646,NaN
1030492800,NaN,0.186096,NaN
1030579200,NaN,0.186545,NaN
1030665600,NaN,0.186995,NaN
1030752000,NaN,0.187445,NaN
1030924800,NaN,0.188344,NaN
1031011200,NaN,0.188794,NaN
1031097600,NaN,0.189243,NaN
1031270400,NaN,0.190143,NaN
1031356800,0.149890,0.190593,-0.040702
1031443200,NaN,0.191042,NaN
1031616000,NaN,0.191942,NaN
1031702400,0.139252,0.192391,-0.053139
1031875200,NaN,0.193291,NaN
1031961600,NaN,0.193740,NaN
1032048000,NaN,0.194190,NaN
1032134400,NaN,0.199015,NaN
1032220800,NaN,0.203841,NaN
1032307200,0.142367,0.208666,-0.066299
1032393600,NaN,0.213491,NaN
1032480000,NaN,0.218317,NaN
1032566400,NaN,0.223142,NaN
