Time,mean,climatology,anomaly
1025740800,NaN,0.259247,NaN
1025827200,NaN,0.259040,NaN
1025913600,0.286712,0.258832,0.027880
1026000000,NaN,0.258625,NaN
1026086400,NaN,0.258418,NaN
1026172800,NaN,0.258210,NaN
1026259200,NaN,0.258003,NaN
1026345600,NaN,0.257796,NaN
1026432000,0.196296,0.257588,-0.061293
1026518400,NaN,0.257381,NaN
1026691200,NaN,0.256967,NaN
1026777600,NaN,0.253381,NaN
1026864000,NaN,0.249796,NaN
1026950400,NaN,0.246210,NaN
1027036800,NaN,0.242625,NaN
1027209600,0.532596,0.235454,0.297142
1027296000,0.630810,0.231868,0.398942
1027382400,NaN,0.228283,NaN
1027468800,NaN,0.224697,NaN
1027555200,NaN,0.221112,NaN
1027641600,NaN,0.217527,NaN
1027728000,NaN,0.213941,NaN
1027814400,NaN,0.210356,NaN
1027900800,NaN,0.206770,NaN
1028678400,NaN,0.174501,NaN
1028851200,NaN,0.167330,NaN
1028937600,NaN,0.163745,NaN
1029024000,NaN,0.160159,NaN
1029110400,NaN,0.156574,NaN
1029196800,NaN,0.152988,NaN
1029283200,NaN,0.149403,NaN
1029456000,0.173229,0.145027,0.028203
1029542400,NaN,0.144236,NaN
1029628800,NaN,0.143445,NaN
1029715200,NaN,0.142655,NaN
1029888000,NaN,0.141073,NaN
1029974400,NaN,0.140282,NaN
1030060800,0.093452,0.139492,-0.046040
1030233600,NaN,0.137910,NaN
1030320000,NaN,0.137120,NaN
1030406400,NaN,0.136329,NaN
1030492800,NaN,0.135538,NaN
1030579200,NaN,0.134747,NaN
1030665600,NaN,0.133957,NaN
1030752000,NaN,0.133166,NaN
1030924800,NaN,0.131585,NaN
1031011200,NaN,0.130794,NaN
1031097600,NaN,0.130003,NaN
1031270400,NaN,0.128422,NaN
1031356800,NaN,0.127631,NaN
1031443200,NaN,0.126840,NaN
1031616000,NaN,0.125259,NaN
1031702400,0.190962,0.124468,0.066494
1031875200,NaN,0.122887,NaN
1031961600,NaN,0.122096,NaN
1032048000,NaN,0.121305,NaN
1032134400,NaN,0.123185,NaN
1032220800,0.162051,0.125066,0.036985
1032307200,0.132266,0.126946,0.005320
1032393600,NaN,0.128826,NaN
1032480000,NaN,0.130707,NaN
1032566400,NaN,0.132587,NaN
1032652800,NaN,0.134467,NaN
1032739200,NaN,0.136347,NaN
1032825600,NaN,0.138228,NaN
1032912000,NaN,0.140108,NaN
1032998400,NaN,0.141988,NaN
1033084800,0.127037,0.143869,-0.016831
1033171200,0.113232,0.145749,-0.032517
1033257600,NaN,0.147629,NaN
1033344000,0.092172,0.149510,-0.057338
1033430400,NaN,0.151390,NaN
1033516800,NaN,0.153270,NaN
1033603200,0.117158,0.155150,-0.037992
1033689600,0.122083,0.157031,-0.034948
1033776000,NaN,0.158911,NaN
1033862400,0.097128,0.160791,-0.063664
1033948800,0.090164,0.162672,-0.072508
1034035200,NaN,0.164552,NaN
1034121600,NaN,0.166432,NaN
1034208000,NaN,0.168312,NaN
1034294400,NaN,0.170193,NaN
1034380800,0.209508,0.172073,0.037436
1034467200,NaN,0.173953,NaN
1034553600,NaN,0.175834,NaN
1034640000,NaN,0.177714,NaN
1034726400,0.193719,0.179993,0.013726
1034812800,0.214558,0.182272,0.032286
1034899200,NaN,0.184551,NaN
1034985600,NaN,0.186830,NaN
1035072000,NaN,0.189109,NaN
1035158400,NaN,0.191388,NaN
1035244800,NaN,0.193667,NaN
1035331200,NaN,0.195946,NaN
1035417600,NaN,0.198225,NaN
1035504000,NaN,0.200504,NaN
1035590400,NaN,0.202783,NaN
1035676800,0.256966,0.205062,0.051904
1035763200,NaN,0.207341,NaN
1035849600,NaN,0.209621,NaN
1035936000,NaN,0.211900,NaN
1036022400,NaN,0.214179,NaN
1036108800,NaN,0.216458,NaN
1036195200,NaN,0.218737,NaN
1036281600,NaN,0.221016,NaN
1036368000,NaN,0.223295,NaN
1036454400,NaN,0.225574,NaN
1036540800,0.292333,0.227853,0.064480
1036627200,0.241135,0.230132,0.011003
1036713600,NaN,0.232411,NaN
1036800000,0.223521,0.234690,-0.011169
1036886400,NaN,0.236969,NaN
1036972800,NaN,0.239248,NaN
1037059200,0.215067,0.241527,-0.026460
1037145600,NaN,0.243806,NaN
1037232000,NaN,0.246085,NaN
1037318400,NaN,0.248364,NaN
1037404800,NaN,0.250435,NaN
1037491200,0.251922,0.252505,-0.000583
1037577600,0.216552,0.254576,-0.038024
1037664000,NaN,0.256647,NaN
1037750400,NaN,0.258717,NaN
1037836800,0.263527,0.260788,0.002740
1037923200,0.250954,0.262858,-0.011904
1038009600,0.214943,0.264929,-0.049986
1038096000,NaN,0.266999,NaN
1038182400,0.189653,0.269070,-0.079417
1038268800,NaN,0.271140,NaN
1038355200,NaN,0.273211,NaN
1038441600,NaN,0.275281,NaN
1038528000,NaN,0.277352,NaN
1038614400,NaN,0.279422,NaN
1038700800,0.287191,0.281493,0.005698
1038787200,NaN,0.283564,NaN
1038873600,NaN,0.285634,NaN
1038960000,NaN,0.287705,NaN
1039046400,NaN,0.289775,NaN
1039132800,NaN,0.291846,NaN
1039219200,NaN,0.293916,NaN
1039305600,NaN,0.295987,NaN
1039392000,NaN,0.298057,NaN
1039478400,NaN,0.300128,NaN
1039564800,NaN,0.302198,NaN
1039651200,NaN,0.304269,NaN
1039737600,NaN,0.306339,NaN
1039824000,0.366949,0.308410,0.058539
1039910400,NaN,0.310481,NaN
1039996800,0.327747,0.311706,0.016041
1040083200,NaN,0.312931,NaN
1040169600,NaN,0.314156,NaN
1040256000,0.300368,0.315382,-0.015013
1040342400,0.319530,0.316607,0.002924
1040428800,NaN,0.317832,NaN
1040515200,0.210291,0.319058,-0.108767
1040601600,NaN,0.320283,NaN
1040688000,NaN,0.321508,NaN
1040774400,NaN,0.322733,NaN
1040860800,NaN,0.323959,NaN
1040947200,NaN,0.325184,NaN
1041033600,0.162662,0.326409,-0.163747
1041120000,NaN,0.327635,NaN
1041206400,NaN,0.328860,NaN
1041292800,NaN,0.330085,NaN
1041379200,NaN,0.331310,NaN
1041465600,0.538946,0.332536,0.206411
1041552000,0.485790,0.333761,0.152029
1041638400,0.601804,0.334986,0.266818
1041724800,NaN,0.336211,NaN
1041811200,NaN,0.337437,NaN
1041897600,NaN,0.338662,NaN
1041984000,0.426863,0.339887,0.086975
1042070400,NaN,0.341113,NaN
1042156800,NaN,0.342338,NaN
1042243200,NaN,0.343563,NaN
1042329600,NaN,0.344788,NaN
1042416000,0.357262,0.346014,0.011248
1042502400,NaN,0.347239,NaN
1042588800,NaN,0.348464,NaN
1042675200,NaN,0.347929,NaN
1042761600,NaN,0.347394,NaN
1042848000,0.481015,0.346859,0.134155
1042934400,0.438448,0.346324,0.092124
1043020800,NaN,0.345789,NaN
1043107200,NaN,0.345254,NaN
1043193600,NaN,0.344719,NaN
1043280000,NaN,0.344184,NaN
1043366400,NaN,0.343649,NaN
1043452800,NaN,0.343114,NaN
1043539200,NaN,0.342579,NaN
1043625600,NaN,0.342044,NaN
1043712000,NaN,0.341509,NaN
1043798400,0.318503,0.340974,-0.022471
1043884800,NaN,0.340439,NaN
1043971200,NaN,0.339904,NaN
1044057600,NaN,0.339369,NaN
1044144000,0.562605,0.338834,0.223771
1044230400,NaN,0.338299,NaN
1044316800,0.419337,0.337764,0.081573
1044403200,NaN,0.337229,NaN
1044489600,NaN,0.336694,NaN
1044576000,NaN,0.336159,NaN
1044662400,NaN,0.335624,NaN
1044748800,NaN,0.335089,NaN
1044835200,0.232548,0.334554,-0.102006
1044921600,0.249897,0.334019,-0.084122
1045008000,NaN,0.333484,NaN
1045094400,NaN,0.332949,NaN
1045180800,NaN,0.332414,NaN
1045267200,NaN,0.331879,NaN
1045353600,NaN,0.329848,NaN
1045440000,0.273966,0.327817,-0.053851
1045526400,0.336658,0.325786,0.010872
1045612800,NaN,0.323755,NaN
1045699200,NaN,0.321724,NaN
1045785600,NaN,0.319692,NaN
1045872000,0.316561,0.317661,-0.001101
1045958400,0.417243,0.315630,0.101613
1046044800,0.202739,0.313599,-0.110860
1046131200,NaN,0.311568,NaN
1046217600,NaN,0.309537,NaN
1046304000,NaN,0.307506,NaN
1046390400,NaN,0.305475,NaN
1046476800,NaN,0.303444,NaN
1046563200,NaN,0.301413,NaN
1046649600,NaN,0.299382,NaN
1046736000,NaN,0.297351,NaN
1046822400,NaN,0.295319,NaN
1046908800,NaN,0.293288,NaN
1046995200,NaN,0.291257,NaN
1047081600,NaN,0.289226,NaN
1047168000,0.368573,0.287195,0.081378
1047254400,NaN,0.285164,NaN
1047340800,NaN,0.283133,NaN
1047427200,NaN,0.281102,NaN
1047513600,0.177219,0.279071,-0.101852
1047600000,NaN,0.277040,NaN
1047686400,NaN,0.275009,NaN
1047772800,NaN,0.272585,NaN
1047859200,NaN,0.270162,NaN
1047945600,NaN,0.267739,NaN
1048032000,0.201205,0.265315,-0.064110
1048118400,NaN,0.262892,NaN
1048204800,0.179051,0.260469,-0.081418
1048291200,0.157952,0.258046,-0.100093
1048377600,0.189734,0.255622,-0.065888
1048464000,NaN,0.253199,NaN
1048550400,NaN,0.250776,NaN
1048636800,NaN,0.248353,NaN
1048723200,0.167161,0.245929,-0.078769
1048809600,NaN,0.243506,NaN
1048896000,NaN,0.241083,NaN
1048982400,0.218589,0.238660,-0.020070
1049068800,NaN,0.236236,NaN
1049155200,NaN,0.233813,NaN
1049241600,NaN,0.231390,NaN
1049328000,0.179797,0.228967,-0.049170
1049414400,NaN,0.226543,NaN
1049500800,NaN,0.224120,NaN
1049587200,NaN,0.221697,NaN
1049673600,NaN,0.219273,NaN
1049760000,NaN,0.216850,NaN
1049846400,NaN,0.214427,NaN
1049932800,NaN,0.212004,NaN
1050019200,NaN,0.209580,NaN
1050105600,0.224443,0.207157,0.017286
1050192000,0.175252,0.204734,-0.029482
1050278400,0.158943,0.202311,-0.043368
1050364800,0.165877,0.199887,-0.034011
1050451200,NaN,0.200728,NaN
1050537600,NaN,0.201568,NaN
1050624000,NaN,0.202408,NaN
1050710400,NaN,0.203248,NaN
1050796800,NaN,0.204089,NaN
1050883200,NaN,0.204929,NaN
1050969600,NaN,0.205769,NaN
1051056000,NaN,0.206610,NaN
1051142400,NaN,0.207450,NaN
1051228800,NaN,0.208290,NaN
1051315200,0.138980,0.209130,-0.070151
1051401600,NaN,0.209971,NaN
1051488000,NaN,0.210811,NaN
1051574400,NaN,0.211651,NaN
1051660800,0.128152,0.212491,-0.084340
1051747200,NaN,0.213332,NaN
1051833600,NaN,0.214172,NaN
1051920000,NaN,0.215012,NaN
1052006400,NaN,0.215852,NaN
1052092800,NaN,0.216693,NaN
1052179200,NaN,0.217533,NaN
