Time,mean,climatology,anomaly
1025740800,28.215000,28.733048,-0.518048
1025827200,NaN,28.771037,NaN
1025913600,NaN,28.809026,NaN
1026000000,28.734999,28.847015,-0.112016
1026086400,28.262501,28.885003,-0.622503
1026172800,NaN,28.922992,NaN
1026259200,NaN,28.960981,NaN
1026345600,28.234999,28.998969,-0.763971
1026432000,NaN,29.036958,NaN
1026518400,NaN,29.074947,NaN
1026604800,NaN,29.112936,NaN
1026691200,29.119999,29.150924,-0.030925
1026777600,NaN,29.166264,NaN
1026864000,NaN,29.181604,NaN
1026950400,29.195000,29.196945,-0.001945
1027036800,29.400000,29.212285,0.187715
1027123200,30.189999,29.227625,0.962374
1027209600,NaN,29.242965,NaN
1027296000,30.689999,29.258305,1.431694
1027382400,30.795000,29.273645,1.521355
1027468800,30.705000,29.288985,1.416015
1027555200,NaN,29.304325,NaN
1027641600,NaN,29.319665,NaN
1027728000,29.924999,29.335006,0.589994
1027814400,29.184999,29.350346,-0.165346
1027900800,29.509998,29.365686,0.144312
1028678400,NaN,29.503747,NaN
1028764800,NaN,29.519087,NaN
1028851200,28.734999,29.534427,-0.799428
1028937600,NaN,29.549767,NaN
1029024000,NaN,29.565107,NaN
1029110400,NaN,29.580447,NaN
1029196800,NaN,29.595788,NaN
1029283200,NaN,29.611128,NaN
1029369600,NaN,29.626468,NaN
1029456000,NaN,29.605744,NaN
1029542400,29.019999,29.585020,-0.565021
1029628800,29.504999,29.564296,-0.059296
1029715200,NaN,29.543572,NaN
1029801600,NaN,29.522848,NaN
1029888000,NaN,29.502123,NaN
1029974400,29.660000,29.481399,0.178600
1030060800,29.519999,29.460675,0.059323
1030147200,29.379999,29.439951,-0.059952
1030233600,30.230000,29.419227,0.810772
1030320000,30.209999,29.398503,0.811496
1030406400,NaN,29.377779,NaN
1030492800,NaN,29.357055,NaN
1030579200,28.904999,29.336331,-0.431332
1030665600,NaN,29.315607,NaN
1030752000,NaN,29.294883,NaN
1030838400,29.670000,29.274159,0.395841
1030924800,NaN,29.253435,NaN
1031011200,NaN,29.232711,NaN
1031097600,NaN,29.211987,NaN
1031184000,NaN,29.191263,NaN
1031270400,NaN,29.170539,NaN
1031356800,NaN,29.149814,NaN
1031443200,NaN,29.129090,NaN
1031529600,28.650000,29.108366,-0.458367
1031616000,NaN,29.087642,NaN
1031702400,NaN,29.066918,NaN
1031788800,28.744999,29.046194,-0.301195
1031875200,28.809999,29.025470,-0.215471
1031961600,28.914999,29.004746,-0.089747
1032048000,28.080000,28.984022,-0.904022
1032134400,NaN,28.937304,NaN
1032220800,NaN,28.890586,NaN
1032307200,NaN,28.843868,NaN
1032393600,28.555000,28.797150,-0.242149
1032480000,NaN,28.750431,NaN
1032566400,NaN,28.703713,NaN
1032652800,28.644999,28.656995,-0.011997
1032739200,NaN,28.610277,NaN
1032825600,NaN,28.563559,NaN
1032912000,NaN,28.516841,NaN
1032998400,NaN,28.470123,NaN
1033084800,27.914999,28.423405,-0.508406
1033171200,28.004999,28.376687,-0.371687
1033257600,28.045000,28.329968,-0.284968
1033344000,27.959999,28.283250,-0.323251
1033430400,27.795000,28.236532,-0.441532
1033516800,NaN,28.189814,NaN
1033603200,NaN,28.143096,NaN
1033689600,NaN,28.096378,NaN
1033776000,27.549999,28.049660,-0.499661
1033862400,27.840000,28.002942,-0.162941
1033948800,27.599998,27.956224,-0.356225
1034035200,27.969999,27.909505,0.060494
1034121600,NaN,27.862787,NaN
1034208000,NaN,27.816069,NaN
1034294400,NaN,27.769351,NaN
1034380800,27.047501,27.722633,-0.675132
1034467200,27.744999,27.675915,0.069084
1034553600,NaN,27.629197,NaN
1034640000,NaN,27.582479,NaN
1034726400,26.994999,27.502753,-0.507754
1034812800,26.129999,27.423027,-1.293028
1034899200,NaN,27.343301,NaN
1034985600,NaN,27.263575,NaN
1035072000,NaN,27.183849,NaN
1035158400,NaN,27.104123,NaN
1035244800,NaN,27.024397,NaN
1035331200,NaN,26.944671,NaN
1035417600,NaN,26.864946,NaN
1035504000,NaN,26.785220,NaN
1035590400,NaN,26.705494,NaN
1035676800,NaN,26.625768,NaN
1035763200,NaN,26.546042,NaN
1035849600,NaN,26.466316,NaN
1035936000,26.260000,26.386590,-0.126590
1036022400,NaN,26.306864,NaN
1036108800,NaN,26.227138,NaN
1036195200,NaN,26.147413,NaN
1036281600,NaN,26.067687,NaN
1036368000,NaN,25.987961,NaN
1036454400,NaN,25.908235,NaN
1036540800,26.250000,25.828509,0.421491
1036627200,26.049999,25.748783,0.301216
1036713600,NaN,25.669057,NaN
1036800000,NaN,25.589331,NaN
1036886400,NaN,25.509605,NaN
1036972800,26.150000,25.429880,0.720120
1037059200,NaN,25.350154,NaN
1037145600,25.764999,25.270428,0.494572
1037232000,NaN,25.190702,NaN
1037318400,25.404999,25.110976,0.294023
1037404800,NaN,25.039773,NaN
1037491200,NaN,24.968571,NaN
1037577600,25.049999,24.897368,0.152631
1037664000,NaN,24.826166,NaN
1037750400,NaN,24.754963,NaN
1037836800,24.100000,24.683761,-0.583760
1037923200,24.525000,24.612558,-0.087559
1038009600,23.900000,24.541356,-0.641356
1038096000,23.955000,24.470153,-0.515153
1038182400,24.109999,24.398950,-0.288952
1038268800,NaN,24.327748,NaN
1038355200,NaN,24.256545,NaN
1038441600,NaN,24.185343,NaN
1038528000,NaN,24.114140,NaN
1038614400,NaN,24.042938,NaN
1038700800,NaN,23.971735,NaN
1038787200,NaN,23.900533,NaN
1038873600,NaN,23.829330,NaN
1038960000,NaN,23.758128,NaN
1039046400,NaN,23.686925,NaN
1039132800,NaN,23.615722,NaN
1039219200,NaN,23.544520,NaN
1039305600,NaN,23.473317,NaN
1039392000,NaN,23.402115,NaN
1039478400,NaN,23.330912,NaN
1039564800,NaN,23.259710,NaN
1039651200,NaN,23.188507,NaN
1039737600,22.189999,23.117305,-0.927306
1039824000,NaN,23.046102,NaN
1039910400,21.469999,22.974900,-1.504900
1039996800,21.600000,22.923240,-1.323240
1040083200,22.279999,22.871580,-0.591582
1040169600,21.980000,22.819921,-0.839921
1040256000,NaN,22.768261,NaN
1040342400,22.540001,22.716601,-0.176601
1040428800,NaN,22.664942,NaN
1040515200,21.035000,22.613282,-1.578282
1040601600,NaN,22.561623,NaN
1040688000,NaN,22.509963,NaN
1040774400,NaN,22.458303,NaN
1040860800,NaN,22.406644,NaN
1040947200,NaN,22.354984,NaN
1041033600,NaN,22.303324,NaN
1041120000,NaN,22.251665,NaN
1041206400,NaN,22.200005,NaN
1041292800,NaN,22.148346,NaN
1041379200,21.270000,22.096686,-0.826685
1041465600,NaN,22.045026,NaN
1041552000,20.330000,21.993367,-1.663367
1041638400,20.000000,21.941707,-1.941707
1041724800,20.334999,21.890047,-1.555048
1041811200,NaN,21.838388,NaN
1041897600,NaN,21.786728,NaN
1041984000,19.889999,21.735069,-1.845069
1042070400,20.004999,21.683409,-1.678410
1042156800,NaN,21.631749,NaN
1042243200,NaN,21.580090,NaN
1042329600,NaN,21.528430,NaN
1042416000,NaN,21.476770,NaN
1042502400,NaN,21.425111,NaN
1042588800,NaN,21.373451,NaN
1042675200,NaN,21.356469,NaN
1042761600,NaN,21.339487,NaN
1042848000,NaN,21.322505,NaN
1042934400,19.199999,21.305522,-2.105523
1043020800,19.859999,21.288540,-1.428541
1043107200,20.625000,21.271558,-0.646558
1043193600,NaN,21.254576,NaN
1043280000,NaN,21.237594,NaN
1043366400,NaN,21.220611,NaN
1043452800,NaN,21.203629,NaN
1043539200,NaN,21.186647,NaN
1043625600,NaN,21.169665,NaN
1043712000,NaN,21.152683,NaN
1043798400,NaN,21.135700,NaN
1043884800,NaN,21.118718,NaN
1043971200,NaN,21.101736,NaN
1044057600,20.230000,21.084754,-0.854754
1044144000,20.309999,21.067772,-0.757772
1044230400,NaN,21.050789,NaN
1044316800,19.990000,21.033807,-1.043807
1044403200,NaN,21.016825,NaN
1044489600,NaN,20.999843,NaN
1044576000,NaN,20.982861,NaN
1044662400,NaN,20.965878,NaN
1044748800,NaN,20.948896,NaN
1044835200,NaN,20.931914,NaN
1044921600,20.090000,20.914932,-0.824932
1045008000,NaN,20.897950,NaN
1045094400,NaN,20.880967,NaN
1045180800,NaN,20.863985,NaN
1045267200,NaN,20.847003,NaN
1045353600,NaN,20.856139,NaN
1045440000,NaN,20.865274,NaN
1045526400,19.555000,20.874410,-1.319410
1045612800,NaN,20.883546,NaN
1045699200,NaN,20.892682,NaN
1045785600,NaN,20.901817,NaN
1045872000,19.924999,20.910953,-0.985954
1045958400,NaN,20.920089,NaN
1046044800,NaN,20.929225,NaN
1046131200,NaN,20.938360,NaN
1046217600,NaN,20.947496,NaN
1046304000,NaN,20.956632,NaN
1046390400,NaN,20.965768,NaN
1046476800,NaN,20.974903,NaN
1046563200,NaN,20.984039,NaN
1046649600,NaN,20.993175,NaN
1046736000,NaN,21.002311,NaN
1046822400,NaN,21.011446,NaN
1046908800,NaN,21.020582,NaN
1046995200,NaN,21.029718,NaN
1047081600,NaN,21.038854,NaN
1047168000,NaN,21.047989,NaN
1047254400,NaN,21.057125,NaN
1047340800,NaN,21.066261,NaN
1047427200,NaN,21.075397,NaN
1047513600,NaN,21.084532,NaN
1047686400,NaN,21.102804,NaN
1047772800,NaN,21.142326,NaN
1047859200,NaN,21.181847,NaN
1047945600,NaN,21.221369,NaN
1048032000,NaN,21.260891,NaN
1048118400,NaN,21.300412,NaN
1048204800,NaN,21.339934,NaN
1048291200,NaN,21.379456,NaN
1048377600,20.924999,21.418978,-0.493978
1048464000,20.805000,21.458499,-0.653499
1048550400,NaN,21.498021,NaN
1048636800,NaN,21.537543,NaN
1048723200,NaN,21.577065,NaN
1048809600,NaN,21.616586,NaN
1048896000,NaN,21.656108,NaN
1048982400,NaN,21.695630,NaN
1049068800,NaN,21.735152,NaN
1049155200,NaN,21.774673,NaN
1049241600,NaN,21.814195,NaN
1049328000,NaN,21.853717,NaN
1049414400,NaN,21.893239,NaN
1049500800,NaN,21.932760,NaN
1049587200,NaN,21.972282,NaN
1049673600,NaN,22.011804,NaN
1049760000,NaN,22.051325,NaN
1049846400,20.545000,22.090847,-1.545847
1049932800,NaN,22.130369,NaN
1050019200,NaN,22.169891,NaN
1050105600,NaN,22.209412,NaN
1050192000,20.285000,22.248934,-1.963934
1050278400,20.605000,22.288456,-1.683456
1050364800,20.605000,22.327978,-1.722978
1050451200,20.689999,22.416722,-1.726724
1050537600,20.850000,22.505467,-1.655466
1050624000,NaN,22.594211,NaN
1050710400,NaN,22.682956,NaN
1050796800,21.209999,22.771700,-1.561701
1050883200,NaN,22.860445,NaN
1050969600,NaN,22.949190,NaN
1051056000,NaN,23.037934,NaN
1051142400,NaN,23.126679,NaN
1051228800,NaN,23.215423,NaN
1051315200,22.824999,23.304168,-0.479169
1051401600,22.695000,23.392912,-0.697913
1051488000,NaN,23.481657,NaN
1051574400,NaN,23.570402,NaN
1051660800,NaN,23.659146,NaN
1051747200,22.455000,23.747891,-1.292891
1051833600,NaN,23.836635,NaN
1051920000,NaN,23.925380,NaN
1052006400,NaN,24.014124,NaN
1052092800,24.112499,24.102869,0.009630
1052179200,24.084999,24.191614,-0.106615
1052265600,NaN,24.280358,NaN
1052352000,23.385000,24.369103,-0.984103
1052438400,NaN,24.457847,NaN
1052524800,NaN,24.546592,NaN
1052611200,NaN,24.635336,NaN
1052697600,NaN,24.724081,NaN
1052784000,NaN,24.812826,NaN
1052870400,NaN,24.901570,NaN
1052956800,25.590000,24.990315,0.599685
1053043200,NaN,25.087765,NaN
1053129600,26.059999,25.185215,0.874785
1053216000,NaN,25.282665,NaN
1053302400,NaN,25.380115,NaN
1053388800,26.545000,25.477564,1.067436
1053475200,25.930000,25.575014,0.354986
1053561600,NaN,25.672464,NaN
1053648000,26.664999,25.769914,0.895085
1053734400,26.375000,25.867364,0.507636
1053820800,NaN,25.964814,NaN
1053907200,25.795000,26.062264,-0.267264
1053993600,NaN,26.159714,NaN
1054080000,NaN,26.257164,NaN
1054166400,NaN,26.354614,NaN
1054252800,NaN,26.452064,NaN
1054339200,26.644999,26.549514,0.095485
1054425600,NaN,26.646964,NaN
1054512000,26.379999,26.744414,-0.364415
1054598400,27.019999,26.841864,0.178135
1054684800,NaN,26.939314,NaN
1054771200,26.974998,27.036764,-0.061765
1054857600,NaN,27.134214,NaN
1054944000,27.519999,27.231664,0.288335
1055030400,28.160000,27.329113,0.830886
1055116800,28.224998,27.426563,0.798435
1055203200,28.224998,27.524013,0.700985
1055289600,27.139999,27.621463,-0.481464
1055376000,NaN,27.718913,NaN
1055462400,NaN,27.816363,NaN
1055548800,NaN,27.913813,NaN
1055635200,NaN,28.011263,NaN
1055721600,27.555000,28.049252,-0.494251
1055808000,NaN,28.087241,NaN
1055894400,NaN,28.125229,NaN
1055980800,28.424999,28.163218,0.261781
1056067200,NaN,28.201207,NaN
1056153600,NaN,28.239195,NaN
1056240000,27.459999,28.277184,-0.817185
1056326400,28.869999,28.315173,0.554826
1056412800,NaN,28.353161,NaN
1056499200,28.587498,28.391150,0.196348
1056585600,28.635000,28.429139,0.205861
1056672000,28.949999,28.467128,0.482871
1056758400,NaN,28.505116,NaN
1056844800,28.980000,28.543105,0.436895
1056931200,NaN,28.581094,NaN
1057017600,NaN,28.619082,NaN
1057104000,28.599998,28.657071,-0.057073
1057190400,NaN,28.695060,NaN
1057276800,NaN,28.733048,NaN
1057363200,NaN,28.771037,NaN
1057449600,28.820000,28.809026,0.010974
1057536000,28.882500,28.847015,0.035485
1057622400,NaN,28.885003,NaN
1057708800,28.934999,28.922992,0.012007
1057795200,NaN,28.960981,NaN
1057881600,29.170000,28.998969,0.171031
1057968000,28.889999,29.036958,-0.146959
1058054400,NaN,29.074947,NaN
1058140800,NaN,29.112936,NaN
1058227200,NaN,29.150924,NaN
1058313600,NaN,29.166264,NaN
1058400000,NaN,29.181604,NaN
1058486400,NaN,29.196945,NaN
1058572800,28.004999,29.212285,-1.207286
1058659200,27.920000,29.227625,-1.307625
1058745600,29.025000,29.242965,-0.217965
1058832000,NaN,29.258305,NaN
1058918400,NaN,29.273645,NaN
1059004800,NaN,29.288985,NaN
1059091200,29.064999,29.304325,-0.239327
1059177600,NaN,29.319665,NaN
1059264000,28.674999,29.335006,-0.660006
1059350400,NaN,29.350346,NaN
1059436800,29.094999,29.365686,-0.270687
1059523200,NaN,29.381026,NaN
1059609600,29.525000,29.396366,0.128634
1059696000,NaN,29.411706,NaN
1059782400,NaN,29.427046,NaN
1059868800,29.574999,29.442386,0.132612
1059955200,NaN,29.457727,NaN
