Time,mean,climatology,anomaly
1025740800,27.837498,28.732066,-0.894568
1025827200,NaN,28.767590,NaN
1025913600,28.209999,28.803113,-0.593114
1026000000,28.635000,28.838637,-0.203637
1026086400,NaN,28.874161,NaN
1026172800,NaN,28.909684,NaN
1026259200,28.045000,28.945208,-0.900208
1026345600,28.590000,28.980732,-0.390731
1026432000,NaN,29.016255,NaN
1026518400,NaN,29.051779,NaN
1026604800,NaN,29.087303,NaN
1026691200,29.014999,29.122826,-0.107827
1026777600,NaN,29.136479,NaN
1026864000,NaN,29.150132,NaN
1026950400,29.215000,29.163785,0.051215
1027036800,28.859999,29.177438,-0.317439
1027123200,29.719999,29.191091,0.528908
1027209600,28.609999,29.204744,-0.594745
1027296000,30.170000,29.218397,0.951603
1027382400,29.859999,29.232050,0.627949
1027468800,30.349998,29.245703,1.104296
1027555200,NaN,29.259356,NaN
1027641600,NaN,29.273009,NaN
1027728000,29.697498,29.286661,0.410837
1027814400,NaN,29.300314,NaN
1027900800,29.692499,29.313967,0.378532
1028678400,NaN,29.436844,NaN
1028764800,NaN,29.450497,NaN
1028851200,NaN,29.464150,NaN
1028937600,NaN,29.477803,NaN
1029024000,NaN,29.491456,NaN
1029110400,NaN,29.505108,NaN
1029196800,NaN,29.518761,NaN
1029283200,NaN,29.532414,NaN
1029369600,NaN,29.546067,NaN
1029456000,NaN,29.523853,NaN
1029542400,29.029999,29.501638,-0.471639
1029628800,29.070000,29.479423,-0.409424
1029715200,29.420000,29.457209,-0.037209
1029801600,28.564999,29.434994,-0.869995
1029888000,29.207499,29.412779,-0.205281
1029974400,29.490000,29.390565,0.099435
1030060800,29.847500,29.368350,0.479150
1030147200,29.459999,29.346135,0.113864
1030233600,30.299999,29.323921,0.976079
1030320000,29.980000,29.301706,0.678294
1030406400,NaN,29.279491,NaN
1030492800,NaN,29.257277,NaN
1030579200,29.699999,29.235062,0.464937
1030665600,NaN,29.212847,NaN
1030752000,NaN,29.190633,NaN
1030838400,29.144999,29.168418,-0.023420
1030924800,NaN,29.146203,NaN
1031011200,NaN,29.123989,NaN
1031097600,29.275000,29.101774,0.173226
1031184000,NaN,29.079559,NaN
1031270400,NaN,29.057345,NaN
1031356800,NaN,29.035130,NaN
1031443200,29.109999,29.012915,0.097083
1031529600,NaN,28.990701,NaN
1031616000,NaN,28.968486,NaN
1031702400,28.959999,28.946271,0.013728
1031788800,28.580000,28.924057,-0.344057
1031875200,NaN,28.901842,NaN
1031961600,29.379999,28.879627,0.500372
1032048000,28.945000,28.857413,0.087587
1032134400,NaN,28.809128,NaN
1032220800,NaN,28.760844,NaN
1032307200,NaN,28.712559,NaN
1032393600,28.324999,28.664274,-0.339275
1032480000,NaN,28.615990,NaN
1032566400,28.474998,28.567705,-0.092706
1032652800,28.135000,28.519420,-0.384420
1032739200,NaN,28.471136,NaN
