Time,mean,climatology,anomaly
1025740800,27.880001,28.769551,-0.889550
1025827200,NaN,28.808247,NaN
1025913600,NaN,28.846943,NaN
1026000000,28.625000,28.885639,-0.260639
1026086400,28.525000,28.924335,-0.399336
1026172800,NaN,28.963032,NaN
1026259200,NaN,29.001728,NaN
1026345600,NaN,29.040424,NaN
1026432000,NaN,29.079120,NaN
1026518400,NaN,29.117816,NaN
1026604800,NaN,29.156512,NaN
1026691200,29.099998,29.195208,-0.095210
1026777600,NaN,29.207977,NaN
1026864000,NaN,29.220746,NaN
1026950400,29.234999,29.233515,0.001484
1027036800,28.869999,29.246284,-0.376285
1027123200,29.849998,29.259052,0.590946
1027209600,NaN,29.271821,NaN
1027296000,30.169998,29.284590,0.885408
1027382400,30.584999,29.297359,1.287640
1027468800,30.404999,29.310128,1.094871
1027555200,NaN,29.322896,NaN
1027641600,NaN,29.335665,NaN
1027728000,NaN,29.348434,NaN
1027814400,30.054998,29.361203,0.693796
1027900800,30.049999,29.373972,0.676028
1028678400,NaN,29.488891,NaN
1028764800,NaN,29.501659,NaN
1028851200,NaN,29.514428,NaN
1028937600,NaN,29.527197,NaN
1029024000,NaN,29.539966,NaN
1029110400,NaN,29.552735,NaN
1029196800,NaN,29.565503,NaN
1029283200,NaN,29.578272,NaN
1029369600,NaN,29.591041,NaN
1029456000,NaN,29.572853,NaN
1029542400,29.019999,29.554665,-0.534666
1029628800,29.309999,29.536477,-0.226478
1029715200,29.289999,29.518289,-0.228290
1029801600,NaN,29.500101,NaN
1029888000,29.170000,29.481913,-0.311913
1029974400,29.365000,29.463725,-0.098725
1030060800,29.490000,29.445537,0.044463
1030147200,29.420000,29.427349,-0.007349
1030233600,30.119999,29.409161,0.710838
1030320000,29.865000,29.390973,0.474027
1030406400,NaN,29.372785,NaN
1030492800,NaN,29.354597,NaN
1030579200,29.609999,29.336409,0.273590
1030665600,NaN,29.318221,NaN
1030752000,NaN,29.300033,NaN
1030838400,29.584999,29.281845,0.303154
1030924800,NaN,29.263657,NaN
1031011200,29.439999,29.245469,0.194530
1031097600,NaN,29.227281,NaN
1031184000,NaN,29.209093,NaN
1031270400,NaN,29.190905,NaN
1031356800,NaN,29.172717,NaN
1031443200,29.384998,29.154529,0.230469
